Epoch: 192/500 | Train Loss: 0.099711 | Time: 15.76s | LR: 1.4073748835532816e-06
Epoch: 193/500 | Train Loss: 0.099696 | Time: 14.5s | LR: 1.4073748835532816e-06
Epoch: 194/500 | Train Loss: 0.099676 | Time: 14.6s | LR: 1.4073748835532816e-06
Epoch: 195/500 | Train Loss: 0.099660 | Time: 15.77s | LR: 1.4073748835532816e-06
Epoch: 196/500 | Train Loss: 0.099642 | Time: 15.63s | LR: 1.1258999068426254e-06
Epoch: 197/500 | Train Loss: 0.099508 | Time: 15.43s | LR: 1.1258999068426254e-06
Epoch: 198/500 | Train Loss: 0.099495 | Time: 15.14s | LR: 1.1258999068426254e-06
Epoch: 199/500 | Train Loss: 0.099476 | Time: 15.26s | LR: 1.1258999068426254e-06
Epoch: 200/500 | Train Loss: 0.099460 | Time: 14.9s | LR: 1.1258999068426254e-06
Epoch: 201/500 | Train Loss: 0.099449 | Time: 14.99s | LR: 1.1258999068426254e-06
Epoch: 202/500 | Train Loss: 0.099436 | Time: 14.5s | LR: 1.1258999068426254e-06
Epoch: 203/500 | Train Loss: 0.099420 | Time: 15.36s | LR: 1.1258999068426254e-06
Epoch: 204/500 | Train Loss: 0.099404 | Time: 15.23s | LR: 1.1258999068426254e-06
Epoch: 205/500 | Train Loss: 0.099393 | Time: 15.21s | LR: 1.1258999068426254e-06
Epoch: 206/500 | Train Loss: 0.099378 | Time: 17.26s | LR: 1.1258999068426254e-06
Epoch: 207/500 | Train Loss: 0.099364 | Time: 16.33s | LR: 1.1258999068426254e-06
Epoch: 208/500 | Train Loss: 0.099352 | Time: 14.4s | LR: 1.1258999068426254e-06
Epoch: 209/500 | Train Loss: 0.099334 | Time: 15.16s | LR: 1.1258999068426254e-06
Epoch: 210/500 | Train Loss: 0.099323 | Time: 14.49s | LR: 1.1258999068426254e-06
Epoch: 211/500 | Train Loss: 0.099309 | Time: 16.52s | LR: 9.007199254741003e-07
Epoch: 212/500 | Train Loss: 0.099201 | Time: 15.9s | LR: 9.007199254741003e-07
Epoch: 213/500 | Train Loss: 0.099182 | Time: 14.91s | LR: 9.007199254741003e-07
Epoch: 214/500 | Train Loss: 0.099173 | Time: 15.69s | LR: 9.007199254741003e-07
Epoch: 215/500 | Train Loss: 0.099161 | Time: 15.21s | LR: 9.007199254741003e-07
Epoch: 216/500 | Train Loss: 0.099150 | Time: 16.11s | LR: 9.007199254741003e-07
Epoch: 217/500 | Train Loss: 0.099138 | Time: 15.66s | LR: 9.007199254741003e-07
Epoch: 218/500 | Train Loss: 0.099125 | Time: 14.73s | LR: 9.007199254741003e-07
Epoch: 219/500 | Train Loss: 0.099114 | Time: 14.89s | LR: 9.007199254741003e-07
Epoch: 220/500 | Train Loss: 0.099103 | Time: 15.35s | LR: 9.007199254741003e-07
Epoch: 221/500 | Train Loss: 0.099094 | Time: 15.32s | LR: 9.007199254741003e-07
Epoch: 222/500 | Train Loss: 0.099085 | Time: 15.26s | LR: 9.007199254741003e-07
Epoch: 223/500 | Train Loss: 0.099073 | Time: 15.67s | LR: 9.007199254741003e-07
Epoch: 224/500 | Train Loss: 0.099058 | Time: 15.1s | LR: 9.007199254741003e-07
Epoch: 225/500 | Train Loss: 0.099053 | Time: 16.16s | LR: 9.007199254741003e-07
Epoch: 226/500 | Train Loss: 0.099036 | Time: 13.75s | LR: 7.205759403792803e-07
Epoch: 227/500 | Train Loss: 0.098946 | Time: 13.94s | LR: 7.205759403792803e-07
Epoch: 228/500 | Train Loss: 0.098937 | Time: 13.81s | LR: 7.205759403792803e-07
Epoch: 229/500 | Train Loss: 0.098925 | Time: 14.52s | LR: 7.205759403792803e-07
Epoch: 230/500 | Train Loss: 0.098917 | Time: 14.78s | LR: 7.205759403792803e-07
Epoch: 231/500 | Train Loss: 0.098905 | Time: 15.37s | LR: 7.205759403792803e-07
Epoch: 232/500 | Train Loss: 0.098901 | Time: 15.96s | LR: 7.205759403792803e-07
Epoch: 233/500 | Train Loss: 0.098889 | Time: 16.02s | LR: 7.205759403792803e-07
Epoch: 234/500 | Train Loss: 0.098885 | Time: 15.97s | LR: 7.205759403792803e-07
Epoch: 235/500 | Train Loss: 0.098871 | Time: 14.85s | LR: 7.205759403792803e-07
Epoch: 236/500 | Train Loss: 0.098859 | Time: 14.41s | LR: 7.205759403792803e-07
Epoch: 237/500 | Train Loss: 0.098853 | Time: 14.81s | LR: 7.205759403792803e-07
Epoch: 238/500 | Train Loss: 0.098844 | Time: 14.65s | LR: 7.205759403792803e-07
Epoch: 239/500 | Train Loss: 0.098834 | Time: 15.02s | LR: 7.205759403792803e-07
Epoch: 240/500 | Train Loss: 0.098828 | Time: 17.42s | LR: 7.205759403792803e-07
Epoch: 241/500 | Train Loss: 0.098816 | Time: 14.24s | LR: 5.764607523034243e-07
Epoch: 242/500 | Train Loss: 0.098743 | Time: 14.6s | LR: 5.764607523034243e-07
Epoch: 243/500 | Train Loss: 0.098733 | Time: 15.51s | LR: 5.764607523034243e-07
Epoch: 244/500 | Train Loss: 0.098723 | Time: 15.3s | LR: 5.764607523034243e-07
Epoch: 245/500 | Train Loss: 0.098720 | Time: 14.9s | LR: 5.764607523034243e-07
Epoch: 246/500 | Train Loss: 0.098713 | Time: 14.74s | LR: 5.764607523034243e-07
Epoch: 247/500 | Train Loss: 0.098704 | Time: 15.19s | LR: 5.764607523034243e-07
Epoch: 248/500 | Train Loss: 0.098699 | Time: 15.63s | LR: 5.764607523034243e-07
Epoch: 249/500 | Train Loss: 0.098685 | Time: 14.87s | LR: 5.764607523034243e-07
Epoch: 250/500 | Train Loss: 0.098686 | Time: 14.41s | LR: 4.6116860184273944e-07
Epoch: 251/500 | Train Loss: 0.098621 | Time: 13.92s | LR: 4.6116860184273944e-07
Epoch: 252/500 | Train Loss: 0.098613 | Time: 15.12s | LR: 4.6116860184273944e-07
Epoch: 253/500 | Train Loss: 0.098605 | Time: 14.99s | LR: 4.6116860184273944e-07
Epoch: 254/500 | Train Loss: 0.098601 | Time: 15.08s | LR: 4.6116860184273944e-07
Epoch: 255/500 | Train Loss: 0.098598 | Time: 15.46s | LR: 4.6116860184273944e-07
Epoch: 256/500 | Train Loss: 0.098591 | Time: 15.06s | LR: 3.689348814741916e-07
Epoch: 257/500 | Train Loss: 0.098541 | Time: 17.67s | LR: 3.689348814741916e-07
Epoch: 258/500 | Train Loss: 0.098535 | Time: 15.49s | LR: 3.689348814741916e-07
Epoch: 259/500 | Train Loss: 0.098528 | Time: 15.64s | LR: 3.689348814741916e-07
