Epoch: 131/1000 | Train Loss: 0.000855 | Time: 23.06s | LR: 7.975367974709517e-09
Epoch: 132/1000 | Train Loss: 0.000855 | Time: 23.95s | LR: 7.975367974709517e-09
Epoch: 133/1000 | Train Loss: 0.000855 | Time: 23.17s | LR: 7.975367974709517e-09
Epoch: 134/1000 | Train Loss: 0.000855 | Time: 26.89s | LR: 6.380294379767614e-09
Epoch: 135/1000 | Train Loss: 0.000855 | Time: 27.05s | LR: 5.104235503814091e-09
Epoch: 136/1000 | Train Loss: 0.000855 | Time: 23.43s | LR: 5.104235503814091e-09
Epoch: 137/1000 | Train Loss: 0.000854 | Time: 23.88s | LR: 5.104235503814091e-09
Epoch: 138/1000 | Train Loss: 0.000855 | Time: 22.73s | LR: 4.083388403051273e-09
Epoch: 139/1000 | Train Loss: 0.000855 | Time: 24.07s | LR: 3.2667107224410188e-09
Epoch: 140/1000 | Train Loss: 0.000855 | Time: 29.43s | LR: 2.613368577952815e-09
Epoch: 141/1000 | Train Loss: 0.000855 | Time: 24.3s | LR: 2.613368577952815e-09
Epoch: 142/1000 | Train Loss: 0.000855 | Time: 25.49s | LR: 2.090694862362252e-09
Epoch: 143/1000 | Train Loss: 0.000855 | Time: 30.82s | LR: 2.090694862362252e-09
Epoch: 144/1000 | Train Loss: 0.000854 | Time: 29.74s | LR: 1.6725558898898017e-09
Epoch: 145/1000 | Train Loss: 0.000855 | Time: 23.29s | LR: 1.3380447119118414e-09
Epoch: 146/1000 | Train Loss: 0.000855 | Time: 22.9s | LR: 1.0704357695294733e-09
Epoch: 147/1000 | Train Loss: 0.000855 | Time: 24.36s | LR: 1.0704357695294733e-09
Epoch: 148/1000 | Train Loss: 0.000855 | Time: 26.94s | LR: 1.0704357695294733e-09
Epoch: 149/1000 | Train Loss: 0.000855 | Time: 23.13s | LR: 1.0704357695294733e-09
Epoch: 150/1000 | Train Loss: 0.000855 | Time: 24.02s | LR: 8.563486156235787e-10
Epoch: 151/1000 | Train Loss: 0.000854 | Time: 24.47s | LR: 8.563486156235787e-10
Epoch: 152/1000 | Train Loss: 0.000855 | Time: 24.52s | LR: 6.85078892498863e-10
Epoch: 153/1000 | Train Loss: 0.000855 | Time: 25.05s | LR: 6.85078892498863e-10
Epoch: 154/1000 | Train Loss: 0.000855 | Time: 34.55s | LR: 6.85078892498863e-10
Epoch: 155/1000 | Train Loss: 0.000855 | Time: 28.26s | LR: 5.480631139990905e-10
Epoch: 156/1000 | Train Loss: 0.000855 | Time: 24.66s | LR: 4.384504911992724e-10
Epoch: 157/1000 | Train Loss: 0.000854 | Time: 25.66s | LR: 3.5076039295941795e-10
Epoch: 158/1000 | Train Loss: 0.000855 | Time: 23.95s | LR: 2.8060831436753436e-10
Epoch: 159/1000 | Train Loss: 0.000855 | Time: 23.85s | LR: 2.8060831436753436e-10
Epoch: 160/1000 | Train Loss: 0.000855 | Time: 23.62s | LR: 2.244866514940275e-10
Epoch: 161/1000 | Train Loss: 0.000855 | Time: 24.93s | LR: 1.79589321195222e-10
Epoch: 162/1000 | Train Loss: 0.000855 | Time: 25.86s | LR: 1.79589321195222e-10
Epoch: 163/1000 | Train Loss: 0.000855 | Time: 25.2s | LR: 1.4367145695617761e-10
Epoch: 164/1000 | Train Loss: 0.000855 | Time: 22.79s | LR: 1.4367145695617761e-10
Epoch: 165/1000 | Train Loss: 0.000855 | Time: 23.62s | LR: 1.4367145695617761e-10
Epoch: 166/1000 | Train Loss: 0.000855 | Time: 25.18s | LR: 1.1493716556494209e-10
Epoch: 167/1000 | Train Loss: 0.000855 | Time: 25.89s | LR: 9.194973245195368e-11
