nohup: ignoring input
Epoch 3/100 | Step 2100/11397 | G=27.626, D=0.558
Epoch 3/100 | Step 2200/11397 | G=27.635, D=0.558
Epoch 3/100 | Step 2300/11397 | G=27.607, D=0.558
Epoch 3/100 | Step 2400/11397 | G=27.603, D=0.558
Epoch 3/100 | Step 2500/11397 | G=27.612, D=0.558
Epoch 3/100 | Step 2600/11397 | G=27.605, D=0.557
Epoch 3/100 | Step 2700/11397 | G=27.589, D=0.558
Epoch 3/100 | Step 2800/11397 | G=27.607, D=0.558
Epoch 3/100 | Step 2900/11397 | G=27.617, D=0.558
Epoch 3/100 | Step 3000/11397 | G=27.610, D=0.558
Epoch 3/100 | Step 3100/11397 | G=27.611, D=0.557
Epoch 3/100 | Step 3200/11397 | G=27.618, D=0.557
Epoch 3/100 | Step 3300/11397 | G=27.616, D=0.557
Epoch 3/100 | Step 3400/11397 | G=27.603, D=0.557
Epoch 3/100 | Step 3500/11397 | G=27.598, D=0.558
Epoch 3/100 | Step 3600/11397 | G=27.583, D=0.558
Epoch 3/100 | Step 3700/11397 | G=27.612, D=0.558
Epoch 3/100 | Step 3800/11397 | G=27.616, D=0.558
Epoch 3/100 | Step 3900/11397 | G=27.617, D=0.558
Epoch 3/100 | Step 4000/11397 | G=27.612, D=0.557
Epoch 3/100 | Step 4100/11397 | G=27.604, D=0.557
Epoch 3/100 | Step 4200/11397 | G=27.598, D=0.557
Epoch 3/100 | Step 4300/11397 | G=27.593, D=0.557
Epoch 3/100 | Step 4400/11397 | G=27.595, D=0.557
Epoch 3/100 | Step 4500/11397 | G=27.580, D=0.557
Epoch 3/100 | Step 4600/11397 | G=27.565, D=0.557
Epoch 3/100 | Step 4700/11397 | G=27.570, D=0.557
Epoch 3/100 | Step 4800/11397 | G=27.566, D=0.557
Epoch 3/100 | Step 4900/11397 | G=27.571, D=0.556
Epoch 3/100 | Step 5000/11397 | G=27.554, D=0.556
Epoch 3/100 | Step 5100/11397 | G=27.565, D=0.556
Epoch 3/100 | Step 5200/11397 | G=27.567, D=0.556
Epoch 3/100 | Step 5300/11397 | G=27.568, D=0.556
Epoch 3/100 | Step 5400/11397 | G=27.557, D=0.556
Epoch 3/100 | Step 5500/11397 | G=27.549, D=0.556
Epoch 3/100 | Step 5600/11397 | G=27.550, D=0.556
Epoch 3/100 | Step 5700/11397 | G=27.555, D=0.556
Epoch 3/100 | Step 5800/11397 | G=27.539, D=0.556
Epoch 3/100 | Step 5900/11397 | G=27.539, D=0.556
Epoch 3/100 | Step 6000/11397 | G=27.542, D=0.556
Epoch 3/100 | Step 6100/11397 | G=27.545, D=0.556
Epoch 3/100 | Step 6200/11397 | G=27.531, D=0.556
Epoch 3/100 | Step 6300/11397 | G=27.526, D=0.556
Epoch 3/100 | Step 6400/11397 | G=27.526, D=0.556
Epoch 3/100 | Step 6500/11397 | G=27.517, D=0.556
Epoch 3/100 | Step 6600/11397 | G=27.515, D=0.556
Epoch 3/100 | Step 6700/11397 | G=27.513, D=0.556
Epoch 3/100 | Step 6800/11397 | G=27.507, D=0.556
Epoch 3/100 | Step 6900/11397 | G=27.515, D=0.556
Epoch 3/100 | Step 7000/11397 | G=27.508, D=0.556
Epoch 3/100 | Step 7100/11397 | G=27.502, D=0.556
Epoch 3/100 | Step 7200/11397 | G=27.491, D=0.556
Epoch 3/100 | Step 7300/11397 | G=27.486, D=0.556
Epoch 3/100 | Step 7400/11397 | G=27.488, D=0.556
Epoch 3/100 | Step 7500/11397 | G=27.499, D=0.556
Epoch 3/100 | Step 7600/11397 | G=27.501, D=0.556
Epoch 3/100 | Step 7700/11397 | G=27.500, D=0.556
Epoch 3/100 | Step 7800/11397 | G=27.496, D=0.556
Epoch 3/100 | Step 7900/11397 | G=27.492, D=0.556
Epoch 3/100 | Step 8000/11397 | G=27.479, D=0.556
Epoch 3/100 | Step 8100/11397 | G=27.475, D=0.556
Epoch 3/100 | Step 8200/11397 | G=27.473, D=0.556
Epoch 3/100 | Step 8300/11397 | G=27.476, D=0.556
Epoch 3/100 | Step 8400/11397 | G=27.478, D=0.556
Epoch 3/100 | Step 8500/11397 | G=27.473, D=0.556
Epoch 3/100 | Step 8600/11397 | G=27.469, D=0.556
Epoch 3/100 | Step 8700/11397 | G=27.466, D=0.556
Epoch 3/100 | Step 8800/11397 | G=27.464, D=0.555
Epoch 3/100 | Step 8900/11397 | G=27.460, D=0.555
Epoch 3/100 | Step 9000/11397 | G=27.454, D=0.555
Epoch 3/100 | Step 9100/11397 | G=27.449, D=0.555
Epoch 3/100 | Step 9200/11397 | G=27.446, D=0.555
Epoch 3/100 | Step 9300/11397 | G=27.441, D=0.555
Epoch 3/100 | Step 9400/11397 | G=27.443, D=0.555
Epoch 3/100 | Step 9500/11397 | G=27.438, D=0.555
Epoch 3/100 | Step 9600/11397 | G=27.439, D=0.555
Epoch 3/100 | Step 9700/11397 | G=27.429, D=0.555
Epoch 3/100 | Step 9800/11397 | G=27.427, D=0.555
Epoch 3/100 | Step 9900/11397 | G=27.422, D=0.555
Epoch 3/100 | Step 10000/11397 | G=27.419, D=0.555
Epoch 3/100 | Step 10100/11397 | G=27.408, D=0.555
Epoch 3/100 | Step 10200/11397 | G=27.402, D=0.555
Epoch 3/100 | Step 10300/11397 | G=27.390, D=0.555
Epoch 3/100 | Step 10400/11397 | G=27.390, D=0.555
Epoch 3/100 | Step 10500/11397 | G=27.384, D=0.555
Epoch 3/100 | Step 10600/11397 | G=27.381, D=0.555
Epoch 3/100 | Step 10700/11397 | G=27.377, D=0.555
Epoch 3/100 | Step 10800/11397 | G=27.375, D=0.555
Epoch 3/100 | Step 10900/11397 | G=27.375, D=0.555
Epoch 3/100 | Step 11000/11397 | G=27.370, D=0.555
Epoch 3/100 | Step 11100/11397 | G=27.363, D=0.555
Epoch 3/100 | Step 11200/11397 | G=27.360, D=0.555
Epoch 3/100 | Step 11300/11397 | G=27.356, D=0.555
Epoch [3/100] | Gen Loss: 27.3505, Disc Loss: 0.5551 | Val PSNR: 14.74, Val SSIM: 0.4289
? Saved new best generator (SSIM 0.4289)
Epoch 4/100 | Step 100/11397 | G=25.856, D=0.567
Epoch 4/100 | Step 200/11397 | G=25.986, D=0.558
Epoch 4/100 | Step 300/11397 | G=25.934, D=0.557
Epoch 4/100 | Step 400/11397 | G=26.200, D=0.553
Epoch 4/100 | Step 500/11397 | G=26.138, D=0.556
Epoch 4/100 | Step 600/11397 | G=26.172, D=0.556
Epoch 4/100 | Step 700/11397 | G=26.221, D=0.555
Epoch 4/100 | Step 800/11397 | G=26.270, D=0.556
Epoch 4/100 | Step 900/11397 | G=26.224, D=0.555
Epoch 4/100 | Step 1000/11397 | G=26.197, D=0.555
Epoch 4/100 | Step 1100/11397 | G=26.191, D=0.554
Epoch 4/100 | Step 1200/11397 | G=26.180, D=0.555
